Country,2001 Legal Score,2001 Political Score,2001 Economic Score,2001 Score,2001 Status,2002 Legal Score,2002 Political Score,2002 Economic Score,2002 Score,2002 Status,2003 Legal Score,2003 Political Score,2003 Economic Score,2003 Score,2003 Status,2004 Legal Score,2004 Political Score,2004 Economic Score,2004 Score,2004 Status,2005 Legal Score,2005 Political Score,2005 Economic Score,2005 Score,2005 Status,2006 Legal Score,2006 Political Score,2006 Economic Score,2006 Score,2006 Status,2007 Legal Score,2007 Political Score,2007 Economic Score,2007 Score,2007 Status,2008 Legal Score,2008 Political Score,2008 Economic Score,2008 Score,2008 Status,2009 Legal Score,2009 Political Score,2009 Economic Score,2009 Score,2009 Status,2010 Legal Score,2010 Political Score,2010 Economic Score,2010 Score,2010 Status,2011 Legal Score,2011 Political Score,2011 Economic Score,2011 Score,2011 Status,2012 Legal Score,2012 Political Score,2012 Economic Score,2012 Score,2012 Status,2013 Legal Score,2013 Political Score,2013 Economic Score,2013 Score,2013 Status,2014 Legal Score,2014 Political Score,2014 Economic Score,2014 Score,2014 Status,2015 Legal Score,2015 Political Score,2015 Economic Score,2015 Score,2015 Status
Saint Vincent and the Grenadines,2,7,7,16,F,2,8,7,17,F,1,5,8,14,F,2,5,9,16,F,3,6,7,16,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F
Samoa,4,5,14,23,F,4,4,16,24,F,4,8,12,24,F,4,9,12,25,F,6,12,11,29,F,7,12,11,30,F,7,12,10,29,F,7,13,9,29,F,7,13,9,29,F,7,14,9,30,F,7,13,9,29,F,7,13,9,29,F,7,13,9,29,F,8,13,9,30,F,7,13,9,29,F
San Marino,,,,,,1,3,5,9,F,1,7,6,14,F,1,8,7,16,F,4,6,7,17,F,4,6,7,17,F,4,6,7,17,F,4,6,7,17,F,4,6,7,17,F,4,6,7,17,F,4,6,7,17,F,4,5,7,16,F,4,5,7,16,F,4,5,7,16,F,4,5,7,16,F
Sao Tome and Principe,1,3,15,19,F,1,3,15,19,F,4,10,14,28,F,4,10,14,28,F,4,11,14,29,F,4,11,14,29,F,4,10,14,28,F,4,10,14,28,F,4,10,14,28,F,4,11,14,29,F,4,11,14,29,F,4,11,13,28,F,4,11,13,28,F,4,11,13,28,F,4,11,13,28,F
Saudi Arabia,26,28,26,80,NF,29,28,23,80,NF,29,27,24,80,NF,29,28,23,80,NF,28,28,23,79,NF,28,30,24,82,NF,28,29,24,81,NF,28,29,25,82,NF,28,30,25,83,NF,28,30,25,83,NF,29,30,25,84,NF,29,30,25,84,NF,29,29,25,83,NF,29,29,25,83,NF,29,32,25,86,NF
Senegal,19,14,6,39,PF,15,14,9,38,PF,12,16,9,37,PF,10,15,12,37,PF,12,20,12,44,PF,13,21,12,46,PF,16,20,13,49,PF,18,21,14,53,PF,20,22,15,57,PF,20,20,14,54,PF,21,20,14,55,PF,20,18,14,52,PF,18,16,14,48,PF,18,16,14,48,PF,19,16,14,49,PF
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,13,17,9,39,PF,13,17,9,39,PF,13,17,9,39,PF,11,16,8,35,PF,9,15,9,33,PF,9,15,11,35,PF,9,16,11,36,PF,9,16,12,37,PF,11,17,12,40,PF,12,21,12,45,PF
Serbia and Montenegro,11,20,14,45,PF,10,18,12,40,PF,12,16,12,40,PF,12,17,11,40,PF,12,17,11,40,PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,25,12,14,51,PF,17,16,17,50,PF,17,17,18,52,PF,21,19,18,58,PF,20,21,19,60,PF,20,21,19,60,PF,20,20,19,59,PF,20,20,19,59,PF,19,20,19,58,PF,17,20,19,56,PF,17,20,19,56,PF,17,20,19,56,PF,16,19,17,52,PF,16,17,17,50,PF,16,16,17,49,PF
Sierra Leone,13,28,21,62,NF,17,26,18,61,NF,18,20,20,58,PF,20,21,18,59,PF,19,22,18,59,PF,17,21,18,56,PF,18,23,18,59,PF,16,23,17,56,PF,15,23,17,55,PF,15,22,16,53,PF,14,19,16,49,PF,14,19,16,49,PF,14,19,16,49,PF,15,19,16,50,PF,16,21,16,53,PF
Singapore,26,22,20,68,NF,24,21,21,66,NF,23,22,19,64,NF,23,24,19,66,NF,23,24,19,66,NF,24,24,21,69,NF,24,24,21,69,NF,24,23,21,68,NF,24,23,21,68,NF,24,23,21,68,NF,24,22,21,67,NF,24,22,21,67,NF,24,22,21,67,NF,24,22,21,67,NF,24,22,21,67,NF
Slovakia,10,5,7,22,F,9,6,6,21,F,8,7,6,21,F,5,9,7,21,F,5,8,7,20,F,5,8,7,20,F,6,9,7,22,F,7,9,7,23,F,7,9,7,23,F,6,9,7,22,F,5,9,7,21,F,6,9,7,22,F,7,9,7,23,F,7,9,8,24,F,7,9,8,24,F
Slovenia,2,5,13,20,F,3,6,10,19,F,3,9,7,19,F,3,9,7,19,F,4,9,7,20,F,5,9,7,21,F,6,10,7,23,F,7,10,7,24,F,8,10,7,25,F,8,10,7,25,F,8,10,7,25,F,6,11,7,24,F,6,11,7,24,F,7,10,8,25,F,6,8,9,23,F
Solomon Islands,3,6,15,24,F,3,11,11,25,F,4,14,12,30,F,5,14,11,30,F,5,14,11,30,F,5,14,11,30,F,5,14,11,30,F,5,14,11,30,F,5,13,11,29,F,6,12,11,29,F,6,11,11,28,F,6,11,11,28,F,6,11,11,28,F,6,11,11,28,F,5,11,11,27,F
Somalia,26,36,26,88,NF,23,35,22,80,NF,24,33,23,80,NF,26,33,24,83,NF,26,33,24,83,NF,27,34,24,85,NF,27,35,22,84,NF,27,35,22,84,NF,27,35,22,84,NF,27,35,22,84,NF,27,35,22,84,NF,27,35,22,84,NF,26,34,22,82,NF,25,34,20,79,NF,25,34,20,79,NF
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,21,19,54,PF,14,21,19,54,PF
South Africa,4,9,10,23,F,6,9,10,25,F,7,8,9,24,F,7,10,9,26,F,7,11,9,27,F,7,12,9,28,F,7,12,9,28,F,9,12,9,30,F,9,13,10,32,PF,9,14,10,33,PF,10,14,10,34,PF,10,15,10,35,PF,9,14,10,33,PF,10,17,10,37,PF,9,17,10,36,PF
South Korea,3,11,16,30,F,7,10,12,29,F,8,11,10,29,F,8,11,10,29,F,9,11,10,30,F,9,11,10,30,F,9,12,9,30,F,9,12,9,30,F,9,12,9,30,F,9,14,9,32,PF,9,14,9,32,PF,9,13,9,31,PF,9,14,9,32,PF,10,14,9,33,PF,10,14,9,33,PF
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,26,17,59,PF,16,27,17,60,PF,16,29,17,62,NF,18,33,17,68,NF,18,31,17,66,NF
